serialanon,nbedsx,tenex,accomhh1,dwtypenx,dwtype8x,dwtype3x,floorx,floory,EPceeb12e,EPceib12e,gorehs,tenure8x,tenure4x
20220000947.0,2.0,rent from local authority,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,55.11,57.12,C,C,South West,local authority - occupied,local authority
20220000959.0,3.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,101.40,110.10,D,D,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220000969.0,4.0,privately rent,detached house or bungalow,detached,detached house,house or bungalow,140.65,147.84,C,D,South East,private rented - occupied,private rented
20220000976.0,3.0,own with mortgage,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,75.74,80.48,D,D,South West,owner occupied - occupied,owner occupied
20220000998.0,2.0,privately rent,terrace/end of terrace,end terrace,small terraced house,house or bungalow,64.82,69.20,E,E,Yorkshire and the Humber,private rented - occupied,private rented
20220001013.0,3.0,own outright,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,96.54,105.09,D,D,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220001016.0,3.0,rent from housing association,terrace/end of terrace,end terrace,small terraced house,house or bungalow,68.87,73.64,C,C,East Midlands,housing association - occupied,housing association
20220001022.0,2.0,own outright,terrace/end of terrace,bungalow,bungalow,house or bungalow,62.02,64.45,C,D,South East,owner occupied - occupied,owner occupied
20220001023.0,3.0,rent from housing association,semi-detached,semi detached,semi-detached house,house or bungalow,66.63,71.13,D,D,South East,housing association - occupied,housing association
20220001035.0,2.0,own outright,semi-detached,semi detached,semi-detached house,house or bungalow,65.07,69.99,D,D,North East,owner occupied - occupied,owner occupied
20220001039.0,3.0,own outright,semi-detached,semi detached,semi-detached house,house or bungalow,129.59,136.38,C,D,South East,owner occupied - occupied,owner occupied
20220001047.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,51.53,52.54,C,C,South East,housing association - occupied,housing association
20220001048.0,3.0,own with mortgage,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,89.18,95.40,D,D,South West,owner occupied - occupied,owner occupied
20220001049.0,1.0,rent from housing association,semi-detached,bungalow,bungalow,house or bungalow,34.87,36.12,D,D,Yorkshire and the Humber,housing association - occupied,housing association
