nbedsx,tenex,tenure8x,tenure4x,accomhh1,dwtypenx,dwtype8x,dwtype3x,EPceeb12e,EPceib12e,gorehs,mean,std,p25,median,p75
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,F,E,Yorkshire and the Humber,50.12,,50.12,50.12,50.12
1.0,own with mortgage,owner occupied - occupied,owner occupied,detached house or bungalow,bungalow,bungalow,house or bungalow,C,D,East,79.72,,79.72,79.72,79.72
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,C,C,London,39.01,,39.01,39.01,39.01
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,C,C,South East,55.48,,55.48,55.48,55.48
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,C,C,South West,55.68,,55.68,55.68,55.68
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,D,D,London,56.125,7.34683945652823,53.5275,56.125,58.7225
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,D,D,South West,61.26,8.87108223386527,56.335,58.77,64.94
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,E,E,South East,32.4,,32.4,32.4,32.4
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,E,F,North West,51.0,,51.0,51.0,51.0
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,F,F,London,43.49,,43.49,43.49,43.49
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,A/B,A/B,London,49.78,1.1030865786510158,49.39,49.78,50.17
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,A/B,A/B,South East,73.44,,73.44,73.44,73.44
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,C,A/B,London,42.31,15.301790744876893,36.9,42.31,47.72
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,C,A/B,South West,45.0,,45.0,45.0,45.0
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,C,C,London,48.476,4.51301229778958,45.84,47.02,48.28
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,D,C,South East,45.75,,45.75,45.75,45.75
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,D,D,London,46.2,16.97056274847714,40.2,46.2,52.2
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,A/B,A/B,East,42.0,,42.0,42.0,42.0
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,A/B,A/B,London,53.0,8.717797887081348,48.0,49.0,56.0
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,A/B,A/B,South East,49.065,5.155012124137049,46.6375,50.65,52.33
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,A/B,East,50.73,,50.73,50.73,50.73
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,A/B,London,49.75,10.02677415722525,46.205,49.75,53.295
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,A/B,South East,48.75,,48.75,48.75,48.75
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,East,48.44,1.6718851635205096,47.5,47.88,49.1
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,East Midlands,61.95,,61.95,61.95,61.95
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,London,49.96,4.760372884554317,50.44,50.7,52.0
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,South East,55.265,12.353155467328984,50.8975,55.265,59.6325
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,South West,57.04,,57.04,57.04,57.04
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,West Midlands,48.05,,48.05,48.05,48.05
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,D,London,40.0,,40.0,40.0,40.0
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,D,South East,43.808,8.899661229507558,39.43,48.3,49.64
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,C,South East,48.19,,48.19,48.19,48.19
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,C,West Midlands,50.59,,50.59,50.59,50.59
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,East,50.6,,50.6,50.6,50.6
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,London,49.26666666666667,11.40807754765602,43.94,50.65,55.285
